id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.0,0.0,0.0,3.2310321632098466e-38,0.0,0.0,0.0,0.0,0.0,1.217251520446438e-35,2.981963132083211e-42,0.0,0.0,0.0,0.0,0.0,0.0,1.3592595103950726e-43,0.0,0.0,1.136074703982059e-40,0.0,0.0,0.0,0.0,0.0,6.993056558450711e-26,1.619752445689944e-22,0.0,0.0,0.0,1.8249109900902093e-39,3.1578674931741787e-33,2.4127385219192237e-33,1.401298464324817e-45,0.0,0.0,0.0,2.802596928649634e-45,0.0,0.0,0.0,1.2471556332490872e-43,0.0,0.0,0.0,6.832956954731727e-36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4578203423508057e-36,0.0,0.0,0.0,0.0,0.0,7.286752014489049e-44,0.0,7.948791541785777e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0828566215145976e-44,0.0,1.3999972416930024e-25,1.4677431390120841e-34,0.0,0.0,2.984222572274623e-35,3.3491033297363128e-43,1.3048891299792697e-41,0.0,0.0,9.174733162202626e-23,3.964826080034483e-27,0.0,0.0,0.0,9.061168428737272e-31,0.0,0.0,6.504236433340182e-26,0.0,0.0,0.0,0.0,0.0,3.261903328898308e-39,0.0
7,0.0,0.0,1.2084797956337222e-40,1.3638930344804833e-33,0.0,3.0127916982983567e-43,8.370898117767636e-27,0.0,0.0,3.5050545251353415e-33,0.0,0.0,0.0,9.201875963029299e-35,2.71193207722874e-38,0.0,0.0,2.2243034854634617e-27,0.0,7.395500728522614e-26,1.1210387714598537e-44,0.0,3.783505853677006e-44,0.0,1.401298464324817e-45,0.0,7.1045832141268225e-43,4.6139963186871307e-38,0.0,0.0,7.286752014489049e-44,1.891752926838503e-43,1.401298464324817e-45,0.0,1.1210387714598537e-44,0.0,1.182446068292707e-34,0.0,3.0828566215145976e-44,1.511418662840955e-28,8.908232675789218e-33,1.401298464324817e-45,1.401298464324817e-45,1.830821545940544e-34,9.80908925027372e-45,7.896530941331767e-26,0.0,1.492340352822303e-21,1.815649752487548e-37,0.0,1.0,0.0,0.0,1.481929177962067e-40,6.913446103592918e-41,1.3548215421066173e-36,0.0,1.0961973594322188e-36,9.99064220036378e-34,1.401298464324817e-45,3.733579954482868e-30,1.961817850054744e-44,0.0,2.4768403525654117e-35,0.0,0.0,1.401298464324817e-45,4.203895392974451e-45,3.7092934457387706e-36,5.539173017182967e-23,0.0,0.0,0.0,0.0,2.802596928649634e-45,0.0,4.4575071982863495e-32,2.015593559759683e-35,8.470875015012813e-32,5.41319074431441e-38,0.0,7.662647524947252e-38,3.128160444021236e-31,5.93258363125539e-31,6.757339620052207e-30,4.90454462513686e-44,1.3489264476230185e-37,5.805321770526763e-35,0.0,0.0,1.4908358310013156e-39,0.0,0.0,0.0,7.000618078461636e-39,1.6300656569985464e-31,4.991856505644256e-36,1.4153114489680652e-43,2.975587224070533e-40
9,0.0,1.0,2.802596928649634e-45,0.0,1.1199448486653996e-11,6.025583396596713e-44,0.0,1.5442309076859484e-42,2.7427693314943647e-38,3.3656810474683265e-23,0.0,9.504089476524089e-34,0.0,0.0,1.7849501617830585e-39,4.203895392974451e-45,1.0870795398999507e-25,0.0,0.0,1.4895802675772805e-42,0.0,0.0,0.0,0.0,0.0,1.1168786776668394e-31,2.972434596190467e-24,0.0,7.211363838666531e-38,0.0,0.0,0.0,2.3451200636759827e-38,0.0,0.0,9.965401443833497e-35,0.0,0.0,0.0,1.0551777436365873e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7656360650492695e-43,6.297675972247495e-35,0.0,7.006492321624085e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100713473684357e-38,0.0,0.0,0.0,1.0237886580357114e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1019476964872256e-44,2.6796105676297022e-39,2.8306228979361305e-43,0.0,0.0,0.0,1.5834672646870433e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.6915984369349951e-28,0.0,2.3261554507791963e-43,1.891752926838503e-43,2.412475436181605e-41,0.0,0.0,8.407790785948902e-45,0.0,0.0,2.942726775082116e-44,0.0,0.0,8.153828506166491e-23
12,0.0,7.335925417551799e-28,0.0,0.0,0.0,0.0,7.705216236958838e-36,0.0,0.0,4.975158999036067e-31,0.0,1.318472980980803e-37,0.0,2.6251865059669086e-24,1.547033504614598e-42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4620814018187036e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6433760072445244e-44,0.0,0.0,0.0,1.5414283107572988e-44,0.0,0.0,0.0,0.0,0.0,1.7932578995550523e-15,7.797724060784202e-32,0.0,1.8216880036222622e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.203895392974451e-45,0.0,0.0,1.1604180609043097e-39,0.0,0.0,0.0,9.326228973447208e-36,2.4094626444833067e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.568306291829715e-41,0.0,4.3018797867939e-39,0.0,6.866362475191604e-44,0.0,0.0,2.1834581871608633e-31,0.0,6.726232628759122e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.626994280197672e-32,0.0,0.0,2.771335507881667e-22
13,0.0,1.1431792871961858e-41,0.0,0.0,5.616503398651125e-35,0.0,8.89178178732186e-37,5.605193857299268e-45,1.4788350036378213e-22,2.0096093905414817e-31,1.961817850054744e-44,3.2399558673821847e-23,3.264759175168602e-40,1.728887180978167e-37,1.0,6.586943561405235e-41,4.210629052162726e-27,2.382522681506662e-38,0.0,5.923288608701002e-42,1.009481400714955e-40,0.0,4.877177266128596e-40,0.0,0.0,0.0,4.635649820451912e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3312335411085762e-43,2.1019476964872256e-44,0.0,1.2611686178923354e-44,0.0,0.0,0.0,0.0,1.7656360650492695e-43,0.0,0.0,0.0,8.080691976140133e-30,1.3067401758825572e-31,4.9609716473854845e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027372e-45,0.0,7.570462713108074e-37,0.0,3.8658004691107954e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5717108722282e-27,1.401298464324817e-45,2.6840757592236836e-35,0.0,0.0,0.0,2.5235865371758115e-32,1.3615107356143674e-35,0.0,0.0,0.0,1.2560258525282633e-40,0.0,0.0,0.0,0.0,0.0,0.0,6.129409345752554e-31,0.0,8.260078513525959e-39,0.0,3.363116314379561e-44,1.5037175009391134e-29,2.2239345758937303e-23,5.43703804158029e-43,0.0,0.0
16,4.0587603548435756e-25,2.4363286301114227e-36,4.851986281098149e-29,1.0,1.959202899734436e-32,1.3331379057215936e-39,4.3270793409700995e-31,1.4858763780653838e-28,1.8995471077097013e-25,1.0389845085864931e-27,1.9670550487134656e-28,1.128498499756779e-37,2.0508082131874077e-17,2.241576035014907e-36,7.0152406336564e-24,7.06618123283086e-34,1.9225955060382923e-40,1.6587656185556343e-21,4.307128542398226e-27,3.4312779871810746e-23,1.613239395762006e-31,4.5661638328765e-29,4.9466813336474756e-37,1.7352565869659704e-37,1.2533419596961107e-25,3.691671512005996e-31,4.121755063311053e-22,6.008313015138972e-23,3.6449099893800027e-29,0.0,4.5448931403469585e-29,1.9925342066212112e-30,7.365383646186893e-24,1.0627626919642846e-36,2.836917197018002e-28,1.7622827140476802e-27,9.770062032684862e-24,3.8805578201082716e-32,8.466526461741042e-29,7.836909164968863e-32,8.324317611961755e-33,1.6917378773926314e-16,5.459028782880187e-27,1.1788538691764362e-16,2.614940534010865e-25,2.3039041393688303e-17,9.83477512770902e-27,2.1003565220809848e-38,1.82561846101281e-27,2.4088681333007444e-32,6.959251439167618e-21,1.158921842095527e-25,9.913222993136392e-14,3.2892574779228973e-31,7.181374369971823e-41,8.358938124645379e-33,1.907776314929747e-31,2.948573368187613e-23,1.0783104493256248e-19,8.181006625261905e-28,1.700028057267518e-20,1.9554269532708377e-30,3.8553843713875795e-25,2.076948963323158e-22,4.611065140853472e-35,1.007506801426637e-26,3.562455530590726e-31,1.2607114304799513e-26,1.3051244535182898e-26,4.1545092471055425e-30,1.3939864889379702e-39,1.2939408094428265e-26,2.688115706014607e-33,4.681334366844919e-22,1.955339716758574e-35,3.909611054582163e-22,1.3027523857541452e-25,1.0114434330478437e-24,1.1675891513130076e-31,5.437349456164695e-28,2.0585074440931563e-42,4.563750156358872e-26,2.7865648660317157e-25,1.831121837943424e-19,1.7157039147965789e-34,2.1974710746494282e-16,2.649434355716726e-15,8.137972421693072e-25,8.555683242933582e-36,6.863197160505913e-24,1.213238188730245e-33,4.313718621689196e-21,9.394254682296612e-35,2.5554995160887714e-30,6.478177098489385e-14,1.4884110177207354e-22,1.091726773726795e-23,3.8168555300364953e-17,3.0315893772764373e-26
19,4.590464499505874e-26,3.7221996292693086e-32,5.135393558038851e-33,1.0,4.663863766617672e-38,0.0,1.3534680447355075e-36,1.0387643347239507e-39,1.1205245285546096e-36,3.2475897296692997e-31,8.866579727009497e-30,0.0,4.072323650594711e-21,0.0,8.739904127187741e-39,2.3080226486508332e-40,1.462731389000817e-40,2.0897272528395417e-38,1.0638762398291172e-32,1.9101540744337767e-27,3.89847696415671e-34,2.3722609349180723e-27,0.0,1.451559396864141e-38,1.5515118051875574e-34,4.555481542069335e-29,1.2165576598806923e-31,1.775768034846175e-32,1.0484766760861699e-34,0.0,8.905912543814282e-35,8.594468019200924e-31,4.6000707299196866e-26,0.0,4.4001586102362844e-36,5.3559474778389874e-37,8.514583303910003e-31,1.4661971924666623e-36,7.955145822287997e-36,1.5953171064139454e-28,1.877739942195255e-43,3.790179936912403e-21,2.1033489949515504e-42,1.336849868584855e-33,9.720462538008955e-33,1.508969572082768e-29,1.323122452902792e-31,3.071646233799999e-42,1.1625506578008086e-36,0.0,4.145164289792433e-25,3.80462134113696e-29,1.2710660372108098e-24,1.982174364420457e-34,1.5274153261140506e-43,6.151700258385947e-42,1.4139474941168164e-31,1.1755227131032054e-37,1.6348072889690766e-35,1.8926907845026217e-32,2.657842980860343e-25,1.6815581571897805e-43,5.208037595470692e-31,1.9006391949087314e-35,1.9189206185100764e-32,1.943856062195967e-21,3.5336311544060974e-36,1.1636548361491457e-37,1.4344618688790617e-31,2.942726775082116e-44,1.5380651944429192e-41,1.165039543239653e-41,3.290089875778428e-36,7.184110637278442e-35,5.362261952926989e-38,1.2527370814340295e-29,5.907575429752027e-34,3.047193311032381e-35,2.6738215234138836e-38,1.913257393201878e-38,0.0,4.6478329166699514e-35,7.567011707354012e-44,3.415399400551445e-30,3.2902487942346705e-41,3.225713835708197e-22,2.2096154858200325e-33,1.8535148798706626e-24,8.643208927955472e-42,9.980848174287271e-35,1.3884359457207796e-39,6.484028405398265e-24,7.160635152699815e-43,7.296589129708609e-40,3.6828606356668493e-19,3.819962931355898e-37,6.9897052307521325e-31,1.027238104699792e-24,3.052965959628957e-19
23,0.0,7.619887658188413e-30,8.7331789857053e-30,3.650272647421064e-26,1.9523648924013875e-36,1.815187592847525e-20,1.430623595372802e-26,2.159400933524543e-41,0.0,1.7155263853030685e-35,0.0,2.6548879632910667e-37,0.0,6.4934659676548095e-37,2.258893124491605e-42,2.9295064095900825e-13,0.0,3.040817667584853e-43,1.7638698729148498e-27,8.766662180568133e-29,2.3840394885594699e-32,1.8826164608511052e-40,2.1943733074545133e-37,7.759430748143857e-36,6.751398264599987e-27,9.726412640878555e-42,0.0,0.0,1.0,1.2738742992030015e-20,5.022091783693244e-21,0.0,1.0713489492527907e-33,1.401298464324817e-45,9.98929623278589e-41,6.162419107914605e-31,0.0,4.688050146220608e-31,1.2280419221956967e-40,9.271894444748147e-34,0.0,0.0,9.815122998214098e-22,0.0,4.715019007836928e-40,0.0,0.0,1.617098427830839e-42,8.246675093714692e-37,0.0,2.5075255110167574e-40,0.0,1.2391682320024357e-41,7.146622168056567e-44,0.0,3.055447313235506e-34,5.736355953182626e-34,2.7778962406189806e-38,0.0,0.0,2.941888518340757e-38,1.0089348943138683e-43,4.246634996136358e-41,0.0,6.343949697668473e-34,5.922265660822045e-40,9.486577201192512e-30,3.4379470536729705e-38,2.802596928649634e-45,2.0879347118439774e-41,4.14393619263741e-30,1.7919165354273901e-31,1.629436860809219e-39,4.1467655756227e-38,0.0,0.0,1.2816389652253957e-35,3.804441252734019e-40,2.4382593279251817e-43,3.2899124826032325e-40,2.3388572525159567e-23,9.684245888528864e-37,0.0,0.0,4.203895392974451e-45,9.827306130309942e-42,2.3750901944518833e-39,1.4278758326025458e-26,4.078577271309883e-40,6.815684929506966e-32,1.401298464324817e-45,5.987970103879694e-31,2.1879537910336256e-37,8.072081712850606e-40,0.0,0.0,4.344025239406933e-44,5.605193857299268e-45,6.428161010935428e-35
24,5.820176662342754e-28,0.0,4.259947331547444e-43,0.0,0.0,8.267660939516421e-44,0.0,1.961817850054744e-43,8.08983190444627e-35,1.6815581571897805e-44,0.0,0.0,0.0,0.0,0.0,0.0,3.6351778440738387e-28,0.0,0.0,0.0,5.934575859081163e-31,0.0,0.0,0.0,0.0,0.0,1.7783751550424917e-35,1.401298464324817e-45,0.0,0.0,0.0,5.755381053744196e-34,1.6053517581383274e-30,3.422170125733218e-36,1.8216880036222622e-44,0.0,0.0,2.820986672864416e-37,1.0489417310387139e-32,6.35142901006432e-35,4.203895392974451e-45,6.219382974212836e-41,3.777900659819707e-42,0.0,4.0326567206339586e-40,6.26192079039588e-39,0.0,0.0,0.0,1.1755212557528025e-39,0.0,3.1689318796690415e-34,0.0,0.0,0.0,8.284196261395454e-41,0.0,0.0,6.029662576426363e-39,8.684543236078446e-30,8.274667431838045e-42,0.0,0.0,0.0,2.8446358825793787e-43,0.0,0.0,0.0,2.6624670822171524e-44,0.0,0.0,0.0,2.892230955773163e-35,0.0,3.06625279893631e-31,0.0,0.0,0.0,1.3407006227742557e-33,0.0,0.0,0.0,4.053797830305534e-38,9.41672568026277e-43,1.0,0.0,0.0,0.0,0.0,5.668777308252891e-31,8.580150497060855e-42,0.0,0.0,0.0,2.1699999066931874e-37,0.0,0.0,0.0,0.0
28,2.3483183011659875e-21,1.6347548761676923e-23,1.5838271046622284e-27,3.326370232905387e-37,1.1226241676876768e-23,2.1755696757253086e-37,5.408133754494894e-23,1.3247698377594335e-22,1.0,1.1814512411624765e-24,2.108815173385479e-26,2.8139195423666275e-26,1.3898703014519858e-26,8.36837168286659e-28,3.2580012183612963e-23,3.4464174050854626e-30,1.1694201016298213e-25,1.1428725017960077e-30,3.140309858551915e-42,2.4350506653365287e-25,4.675241347207955e-25,4.264571616479716e-41,2.2420775429197073e-44,1.8216880036222622e-44,4.0637655465419695e-44,4.14698866233822e-40,6.033420922092656e-29,0.0,2.802596928649634e-44,0.0,2.3230585811730385e-40,7.494081128778227e-39,2.6420509752240104e-34,5.1256913950091485e-31,2.1481905458099446e-42,3.557236364411561e-26,0.0,3.221772876214648e-33,1.7035305171103936e-40,1.233142648605839e-43,1.401298464324817e-45,6.749803356791772e-34,2.3626398818041116e-37,0.0,4.651354503972118e-31,6.984162910854762e-38,0.0,1.5456009806179513e-31,1.0484937207542568e-32,8.894862309169377e-31,9.861665789288983e-36,5.159725279385802e-39,2.8877427828843667e-36,2.2289473763089838e-40,1.8912163564282556e-34,4.99082369262411e-38,0.0,1.1102487732845526e-41,3.834933507317727e-41,4.014099023583437e-29,1.872441189842899e-30,9.50697042240406e-38,0.0,4.41744318958861e-38,1.4075266500990374e-32,7.650893433428496e-40,1.401298464324817e-45,1.0173426850998172e-42,1.5498909086803688e-34,4.005455835883257e-37,1.0439009343747797e-38,3.582684223721112e-36,3.8991147616775277e-35,2.7208636415036917e-31,1.29026401727131e-33,2.7523187881651683e-37,0.0,1.981534119447794e-40,3.5824446611569314e-25,3.79808070295251e-37,3.7280182011800154e-36,4.2111850019338286e-30,2.0619228322831296e-18,4.25013824229717e-42,6.054941937366719e-26,9.724245425766695e-33,1.361540600087239e-37,1.5414283107572988e-43,5.605193857299268e-45,3.843331119097675e-24,6.21130813194201e-35,2.5040024798668756e-34,2.0048114608257191e-28,7.204235732114024e-25,3.0638689420834156e-15,3.621846677369412e-29,0.0,0.0,2.2751288790108692e-30
